word	raw_frequency	freq_per_m	zipf	num_letters	orth_density	orth_density_nbrs	OLD20	orth_nbr_zipf_m	orth_nbr_zipf_SD	orth_C	IPA	phon_density	phon_density_nbrs	PLD20	phon_nbr_zipf_m	phon_nbr_zipf_SD	phon_C	pg_density	pg_density_nbrs	PGLD20	pg_nbr_zipf_m	pg_nbr_zipf_SD	pg_C	num_phonemes
իմ	225	123.4500164600022	5.0914911521738855	2	3	իմն, ից, իմը	1.85	2.939995297838511	0.1419069008497054	0.3333333333333333	im	1	imə	1.95	2.7393086340625232	0.0	0.0	1	իմը(imə)	1.95	2.7393086340625232	0.0	0.0	2
ինչ	209	114.67134862284648	5.059454920173577	3	8	ինձ, մինչ, ինչը, ինչն, ինը, ինչի, նչ, ինն	1.6	3.433759518200728	0.6870662176085399	0.2857142857142857	intʃʰ	4	intʃʰu, mintʃʰ, intʃʰə, intʃʰi	2.15	3.670459512911702	0.420788115810739	0.5	3	մինչ(mintʃʰ), ինչը(intʃʰə), ինչի(intʃʰi)	2.3	3.470350166847344	0.2755150020371215	0.3333333333333333	5
ինձ	192	105.34401404586856	5.022609862766073	3	3	ինչ, ինը, ինն	1.85	3.671731147672762	1.0004146222106234	1.0	indz	0		2.65			0.0	0		2.7			0.0	4
թե	156	85.59201141226819	4.932433232416985	2	6	եթե, դե, թեն, թեև, չե, թեժ	1.7	3.6971743370107664	0.7493665780775821	0.2666666666666666	tʰe	4	tʃʰe, tʰen, tʃʰe, tʰeʒ	1.8	3.0403386297265045	0.5213992470922544	0.1666666666666666	4	թեն(tʰen), չե(tʃʰe), չե(tʃʰe), թեժ(tʰeʒ)	1.8	3.0403386297265045	0.5213992470922544	0.1666666666666666	3
ոչ	154	84.49467793262373	4.926829354898986	2	5	ով, ոք, ոգ, նչ, ոտ	1.75	3.292442345014326	0.7110332605767545	0.6	votʃʰ	1	votkʰ	2.0	3.0403386297265045	0.0	0.0	0		2.35			0.0	5
էլ	142	77.91067705475695	4.89159697844558	2	7	էլի, էդ, ել, էջ, էս, էյ, էք	1.65	3.072802027084085	0.1586849293685575	0.4761904761904761	el	5	eli, ed, jel, es, eɪ	1.75	3.145993385159913	0.0862667465701333	0.3	5	էլի(eli), էդ(ed), ել(jel), էս(es), էյ(eɪ)	1.75	3.145993385159913	0.0862667465701333	0.3	2
քեզ	138	75.71601009546802	4.87918772046376	3	4	ձեզ, մեզ, քեն, քեղ	1.8	3.7486851784854425	0.7934155346346704	0.3333333333333333	kʰez	2	kʰen, kʰeʀ	2.1	2.9778692614223545	0.2385606273598313	1.0	2	քեն(kʰen), քեղ(kʰeʀ)	2.15	2.9778692614223545	0.2385606273598313	1.0	4
կարող	100	54.8666739822232	4.739308634062524	5	0		2.0			0.0	kaɹoʀ	0		2.5			0.0	0		2.5			0.0	5
սակայն	98	53.769340502578736	4.730534709755018	6	0		2.95			0.0	sakaɪn	0		3.0			0.0	0		3.0			0.0	6
եթե	97	53.220673762756505	4.726080368328768	3	1	թե	1.95	4.932433232416985	0.0	0.0	jetʰe	0		2.7			0.0	0		2.75			0.0	5
եվ	95	52.12334028311204	4.717032239351371	2	7	ով, եկ, ետ, ել, եր, յվ, եռ	1.65	3.4481400065973324	0.4965146046663188	0.5238095238095238	jev	7	jek, sev, jevs, jet, jel, jer, jer	1.65	3.4085517439889657	0.2862546766010115	0.4285714285714285	7	եկ(jek), ետ(jet), ել(jel), եր(jer), եր(jer), եռ(jer), եռ(jer)	1.65	3.244819167463503	0.2857286823699876	0.7142857142857143	3
չէ	92	50.477340063645336	4.703096461408078	2	4	չի, չէր, չէի, չե	1.8	3.8403031249798616	0.6751369467870332	0.5	tʃʰe	7	tʰe, tʃʰem, tʃʰi, tʃʰes, tʃʰen, tʃʰer, tʃʰei	1.8	4.384192598728864	0.3242188100050394	0.5238095238095238	3	չի(tʃʰi), չէր(tʃʰer), չէի(tʃʰei)	2.1	4.207301288618974	0.2626707459246881	0.6666666666666666	4
