word	raw_frequency	freq_per_m	zipf	num_letters	orth_density	orth_density_nbrs	OLD20	orth_nbr_zipf_m	orth_nbr_zipf_SD	orth_C	IPA	phon_density	phon_density_nbrs	PLD20	phon_nbr_zipf_m	phon_nbr_zipf_SD	phon_C	pg_density	pg_density_nbrs	PGLD20	pg_nbr_zipf_m	pg_nbr_zipf_SD	pg_C	num_phonemes
میں	7144	5446.990202432236	6.736156594103049	3	16	ہمیں, ماں, دیں, میل, مین, ملیں, میٹ, میم, میا, میچ, میز, کیں, مریں, ھیں, مڑیں, یں	1.2	3.776264753833404	0.8025158216501841	0.25	mẽ	2.0	dẽ, ẽ	1.9	3.921805771246372	1.0395906230238126	1.0	2.0	دیں(dẽ), یں(ẽ)	2.0	3.921805771246372	1.0395906230238126	1.0	3
آپ	3586	2734.1694941100227	6.436825433448723	2	25	اپ, آو, آگ, آؤ, آہ, آر, چپ, آف, آن, کپ, شپ, آس, آل, ہپ, آب, آں, آآ, آت, آپی, لپ, آڑ, آم, آپے, آء, آپس	1.0	3.49667413965049	0.5790712008455402	0.4633333333333333	aːp	39.0	aːh, ap, aːm, baːp, aːɡ, aːh, paːp, aːr, aː, aːf, aːt, ʈaːp, aːn, aːs, aːl, aː, aːb, aːn, haːp, naːp, aː, aːx, aːt, aːpi, aːd, aːd, aː, aːt, aːm, aː, aːʐ, aːd, aː, aːz, aː, aːz, aːt, aːa, aː	1.0	3.247548370562482	0.542139593182073	0.6383265856950068	28.0	اپ(ap), آگ(aːɡ), آہ(aːh), آہ(aːh), آر(aːr), آف(aːf), آن(aːn), آن(aːn), آس(aːs), آل(aːl), آب(aːb), آں(aːn), آں(aːn), آت(aːt), آت(aːt), آت(aːt), آت(aːt), آپی(aːpi), آم(aːm), آم(aːm), آء(aː), آء(aː), آء(aː), آء(aː), آء(aː), آء(aː), آء(aː), آء(aː)	1.0	3.326373029129216	0.5278385786532206	0.7486772486772487	3
نہیں	3424	2610.6515191948456	6.416748904227674	4	8	انہیں, یہیں, رہیں, وہیں, جنہیں, آہیں, تہیں, ںہیں	1.6	3.897621604741899	0.6609952316040537	0.5714285714285714	nahiːn	1.0	ʋahiːn	2.55	4.160968749175388	0.0	0.0	1.0	وہیں(ʋahiːn)	2.75	4.160968749175388	0.0	0.0	6
سے	3206	2444.4359727040523	6.388178666240686	2	29	نے, سب, اسے, سر, سی, سچ, سا, بے, اے, سن, سو, سم, سکے, جے, رے, طے, وے, کسے, جسے, سہ, ھے, تے, سچے, سڑ, سنے, ڈے, ئے, پے, سڑے	1.0	4.117003838987166	0.8751047559854765	0.3103448275862069	seː	21.0	neː, ɪseː, siː, saː, beː, eː, peː, soː, seːm, seːl, seːʈ, ɟeː, reː, seːr, teː, ʋeː, seːb, teː, ɖeː, eː, peː	1.0	4.038712271708368	0.8767832587329087	0.3619047619047619	20.0	نے(neː), اسے(ɪseː), سی(siː), سا(saː), بے(beː), اے(eː), اے(eː), سو(soː), جے(ɟeː), رے(reː), طے(teː), طے(teː), وے(ʋeː), تے(teː), تے(teː), ڈے(ɖeː), ئے(eː), ئے(eː), پے(peː), پے(peː)	1.0	4.074084717001819	0.9158960661782364	0.5789473684210527	3
کو	3029	2309.481148259693	6.363514421555415	2	40	کر, کا, جو, کس, کون, کم, رکو, کھو, آو, سو, نو, یو, او, رو, کور, شو, کود, کوڈ, ٹو, کپ, سکو, کوچ, کیو, کلو, کک, کش, کٹ, وو, بو, کوم, کوک, کوٹ, قو, ڈو, زو, چکو, ھو, کوش, پو, کڈ	1.0	3.8231570675953055	0.9167438349341112	0.2666666666666666	koː	25.0	woː, kaː, ɟoː, koːn, kʰoː, soː, noː, oː, koːr, ʃoː, koːɖ, koːc, noː, ʋoː, aoː, oː, koːm, koːk, koːʈ, qoː, ɖoː, zoː, koːʃ, oː, poː	1.0	3.665396648891385	1.0299952798157817	0.43	23.0	کا(kaː), جو(ɟoː), کون(koːn), کھو(kʰoː), سو(soː), نو(noː), نو(noː), او(oː), او(oː), او(oː), کور(koːr), شو(ʃoː), کوڈ(koːɖ), کوچ(koːc), وو(ʋoː), کوم(koːm), کوک(koːk), کوٹ(koːʈ), قو(qoː), ڈو(ɖoː), زو(zoː), کوش(koːʃ), پو(poː)	1.0	3.8203794253779018	0.8937542350075088	0.4031620553359684	3
اس	2833	2160.0396477450345	6.334461722742996	2	42	ان, اسے, اب, کس, پاس, بس, جس, اہ, اپ, اے, از, اسی, ایس, اط, دس, طاس, ار, ای, باس, مس, ام, لاس, او, ات, پس, اڑ, اگ, ساس, اج, اخ, اک, آس, اد, رس, اآ, ال, ڈاس, اسو, ناس, یس, اف, اپس	1.0	4.0419850894947285	0.8378336389285779	0.3252032520325203	ɪs	5.0	ɪn, kɪs, ɟɪs, ɪsi, ɪk	1.75	4.780523603870328	0.8212313862837018	0.2	5.0	ان(ɪn), کس(kɪs), جس(ɟɪs), اسی(ɪsi), اک(ɪk)	1.75	4.780523603870328	0.8212313862837018	0.2	2
نے	2652	2022.03499675956	6.305788667955294	2	27	سے, نہ, بے, آنے, نا, اے, نئے, نو, نل, جے, رے, طے, وے, بنے, نشے, ھے, تے, نوے, انے, سنے, ڈے, تنے, ئے, نےن, نٹ, پے, نآ	1.0	3.8313641755148455	0.8341126185311653	0.2877492877492877	neː	23.0	seː, beː, naː, eː, peː, nʌeː, noː, neːʈ, ɟeː, reː, teː, ʋeː, teː, aneː, neːk, neːɖ, ɖeː, noː, eː, neːn, peː, neːl, naː	1.0	3.5406928527239	0.7897099019101778	0.3043478260869565	25.0	سے(seː), بے(beː), نا(naː), نا(naː), اے(eː), اے(eː), نئے(nʌeː), نو(noː), نو(noː), جے(ɟeː), رے(reː), طے(teː), طے(teː), وے(ʋeː), تے(teː), تے(teː), انے(aneː), ڈے(ɖeː), ئے(eː), ئے(eː), نےن(neːn), پے(peː), پے(peː), نآ(naː), نآ(naː)	1.0	3.845165905390817	0.8397523878446634	0.3833333333333333	3
کیا	2258	1721.6270824596852	6.235939085811508	3	29	کا, گیا, دیا, کہا, یا, لیا, آیا, کیٹ, کیسا, کیپ, کتیا, نیا, کھا, کیس, کیک, ایا, میا, کیو, کتا, کیش, کیں, کیل, کما, کیٹا, کین, حیا, کٹا, کیڑا, کیم	1.0	3.960932661510985	0.946325870736021	0.2561576354679803	kjaː	4.0	kaː, jaː, kʰaː, mjaː	1.8	4.751937541044571	0.9729005025896432	0.5	4.0	کا(kaː), یا(jaː), کھا(kʰaː), میا(mjaː)	1.8	4.751937541044571	0.9729005025896432	0.5	4
تم	2173	1656.8182684609817	6.219274874543084	2	18	ہم, کم, ختم, سم, بم, تا, ام, جم, تب, مم, غم, تے, دم, گم, ضم, ظم, آم, ستم	1.1	3.89324453780277	0.8372538773595196	0.5424836601307189	tʊm	3.0	ʊm, tʊɟ, ɡʊm	1.85	3.734315981811655	0.2876220750266199	0.3333333333333333	2.0	ام(ʊm), گم(ɡʊm)	1.9	3.708821405110231	0.3494850021680094	1.0	3
وہ	1864	1421.2191681598108	6.152661056240522	2	40	نہ, وجہ, اوہ, اہ, پہ, رہ, وہی, ہہ, آہ, ءہ, وی, واہ, ون, ؤہ, وے, دہ, سہ, شہ, قہ, وڈ, فہ, حہ, وچ, ھہ, وہا, وو, أہ, بہ, ذہ, وک, ئہ, صہ, وؤ, ول, ثہ, موہ, وہج, وہو, ظہ, وہہ	1.0	3.602307851831462	0.7097129589628575	0.3666666666666666	woː	15.0	koː, ɟoː, soː, noː, oː, ʃoː, noː, ʋoː, aoː, oː, qoː, ɖoː, zoː, oː, poː	1.25	3.545786245805694	1.0441862026135444	0.961904761904762	1.0	وو(ʋoː)	1.95	3.1832451438865403	0.0	0.0	3
