word	raw_frequency	freq_per_m	zipf	num_letters	num_phonemes	orth_density	orth_density_nbrs	OLD20	orth_nbr_zipf_m	orth_nbr_zipf_SD	orth_C	IPA	phon_density	phon_density_nbrs	PLD20	phon_nbr_zipf_m	phon_nbr_zipf_SD	phon_C	pg_density	pg_density_nbrs	PGLD20	pg_nbr_zipf_m	pg_nbr_zipf_SD	pg_C
мен	353	264.02393418100223	5.421643298125838	3	3	7	сен, мені, ме, ден, пен, мән, бен	1.65	3.813600026764621	0.831415829848987	0.2857142857142857	men	8	sen, menɪ, me, sen, den, pen, mæn, ben	1.6	3.6813071282607943	0.6252623842042888	0.3214285714285714	8	сен(sen), сен(sen), мені(menɪ), ме(me), ден(den), пен(pen), мән(mæn), бен(ben)	1.6	3.971308238051352	0.8825808213466151	0.3214285714285714
ол	210	157.06806282722513	5.196087887471935	2	2	10	ал, сол, қол, ой, жол, бол, ел, он, от, оқ	1.5	3.674818441448697	0.5579601546118816	0.2888888888888888	oɫ	10	ɑɫ, soɫ, qoɫ, oj, ʒoɫ, boɫ, eɫ, on, ot, oq	1.5	3.674818441448697	0.5579601546118816	0.2888888888888888	10	ал(ɑɫ), сол(soɫ), қол(qoɫ), ой(oj), жол(ʒoɫ), бол(boɫ), ел(eɫ), он(on), от(ot), оқ(oq)	1.5	3.674818441448697	0.5579601546118816	0.2888888888888888
сен	159	118.92296185489904	5.075265717058468	3	3	9	мен, сені, сэн, ден, сене, пен, сену, сан, бен	1.55	3.644220421582816	0.8204372465008872	0.2777777777777778	sen	9	men, senɪ, den, seɾ, sene, pen, senw, sɑn, ben	1.55	3.606173457047016	0.8149069172815049	0.25	8	мен(men), сені(senɪ), ден(den), сене(sene), пен(pen), сену(senw), сан(sɑn), бен(ben)	1.5	3.610340314543639	0.8642489109046229	0.3214285714285714
бұл	128	95.73672400897532	4.981078562385884	3	3	2	бол, бел	1.9	3.262944217929838	0.3890756251918217	1.0	bʊɫ	2	boɫ, beɫ	1.9	3.262944217929838	0.3890756251918217	1.0	2	бол(boɫ), бел(beɫ)	1.9	3.262944217929838	0.3890756251918217	1.0
керек	111	83.02169035153328	4.919191571524673	5	5	1	келек	1.95	2.873868592738016	0.0	0.0	keɾek	1	kelek	1.95	2.873868592738016	0.0	0.0	1	келек(kelek)	1.95	2.873868592738016	0.0	0.0
не	110	82.27374719521316	4.91526127789624	2	2	10	бе, де, ме, пе, ше, әне, же, ие, ине, те	1.5	3.811038126312992	0.6758614473040524	0.6666666666666666	ne	8	be, de, me, pe, ʃe, æne, ʒe, te	1.6	3.9856903528667793	0.6357995560767212	0.75	8	бе(be), де(de), ме(me), пе(pe), ше(ʃe), әне(æne), же(ʒe), те(te)	1.6	3.9856903528667793	0.6357995560767212	0.75
жоқ	109	81.52580403889306	4.911295090678639	3	3	3	жол, оқ, боқ	1.85	3.1332523428658967	0.3668240172900435	0.3333333333333333	ʒoq	3	ʒoɫ, oq, boq	1.85	3.1332523428658967	0.3668240172900435	0.3333333333333333	3	жол(ʒoɫ), оқ(oq), боқ(boq)	1.85	3.1332523428658967	0.3668240172900435	0.3333333333333333
оны	100	74.79431563201196	4.873868592738016	3	3	6	оның, осы, соны, он, боны, орны	1.7	3.606638216501803	0.6984652082354864	0.0666666666666666	onə	6	onəŋ, osə, sonə, on, bonə, oɾnə	1.7	3.606638216501803	0.6984652082354864	0.0666666666666666	6	оның(onəŋ), осы(osə), соны(sonə), он(on), боны(bonə), орны(oɾnə)	1.7	3.606638216501803	0.6984652082354864	0.0666666666666666
менің	96	71.8025430067315	4.856139825777584	5	5	3	мені, сенің, ненің	1.85	4.14367693567036	0.6857392164411362	0.3333333333333333	menɪŋ	3	menɪ, senɪŋ, nenɪŋ	1.85	4.14367693567036	0.6857392164411362	0.3333333333333333	3	мені(menɪ), сенің(senɪŋ), ненің(nenɪŋ)	1.85	4.14367693567036	0.6857392164411362	0.3333333333333333
ба	90	67.31488406881077	4.82811110217734	2	2	9	ма, бар, бе, да, па, бас, та, ға, бо	1.55	3.9784368730504474	0.7293946380273307	0.3333333333333333	bɑ	9	mɑ, bɑɾ, be, dɑ, pɑ, bɑs, tɑ, ʀɑ, bo	1.55	3.9784368730504474	0.7293946380273307	0.3333333333333333	9	ма(mɑ), бар(bɑɾ), бе(be), да(dɑ), па(pɑ), бас(bɑs), та(tɑ), ға(ʀɑ), бо(bo)	1.55	3.9784368730504474	0.7293946380273307	0.3333333333333333
маған	89	66.56694091249065	4.823258599382928	5	5	1	саған	1.95	4.517321269224203	0.0	0.0	mɑʀɑn	1	sɑʀɑn	1.95	4.517321269224203	0.0	0.0	1	саған(sɑʀɑn)	1.95	4.517321269224203	0.0	0.0
